,,
Module Code , Title,Credits
AC2001 , INTRODUCTION TO ACCOUNTING AND FINANCE,6
AC2002 , INTRODUCTION TO ACCOUNTING,6
AC2003 , ACCOUNTING FOR FINANCIAL DECISION MAKING WITHIN PROFESSIONAL PROCUREMENT,6
AC2012 , ACCOUNTING FOR FINANCIAL DECISION MAKING,6
AC2914 , ACCOUNTING FOR FINANCIAL DECISION MAKING,6
AC3001 , INTRODUCTION TO ACCOUNTING,6
AC3002 , HEALTH SECTOR FINANCE,6
AC3003 , INTRODUCTION TO ACCOUNTING,6
AC3012 , BUSINESS INTELLIGENCE FOR DECISION MAKING,6
AC4000 , CORPORATE SOCIAL RESPONSIBILITY,6
AC4001 , PRINCIPLES OF ACCOUNTING,6
AC4002 , MANAGERIAL ACCOUNTING,6
AC4003 , FINANCIAL REPORTING AND ANALYSIS,9
AC4004 , ACCOUNTING FOR AUDITING AND FRAMEWORKS,6
AC4007 , ADVANCED FINANCIAL REPORTING,6
AC4008 , CORPORATE GOVERNANCE AND GROUPS,6
AC4014 , INTERMEDIATE ACCOUNTING 1,6
AC4018 , CORPORATE TRANSPARENCY AND BUSINESS ETHICS,6
AC4024 , FINANCIAL ACCOUNTING AND REPORTING,6
AC4034 , AUDITING AND ACCOUNTING FRAMEWORKS,6
AC4213 , FINANCIAL ACCOUNTING,6
AC4214 , ACCOUNTING FOR FINANCIAL DECISION MAKING,6
AC4305 , FINANCIAL INFORMATION ANALYSIS,6
AC4407 , INTERMEDIATE ACCOUNTING 2,6
AC4417 , MANAGEMENT ACCOUNTING 1,6
AC4418 , MANAGEMENT ACCOUNTING 2,6
AC4711 , FUNDAMENTAL ACCOUNTING,6
AC4712 , FINANCIAL ACCOUNTING PRINCIPLES,6
AC4713 , MANAGEMENT ACCOUNTING PRINCIPLES,6
AC4714 , MANAGEMENT ACCOUNTING 1,6
AC4715 , FINANCIAL ACCOUNTING 2,6
AC4716 , ADVANCED MANAGEMENT ACCOUNTING,6
AC4718 , FINANCIAL REPORTING,6
AC4721 , REGULATORY FRAMEWORK,6
AC4723 , FINANCIAL ACCOUNTING 1,6
AC4726 , FINANCIAL MANAGEMENT,6
AC4901 , PRINCIPLES OF ACCOUNTING (by Flexible Learning),6
AC4902 , MANAGERIAL ACCOUNTING,6
AC4906 , CORPORATE SOCIAL RESPONSIBILITY,9
AC4907 , FINANCIAL INFORMATION ANALYSIS,6
AC5001 , FINANCIAL ACCOUNTING,6
AC5002 , FINANCIAL REPORTING,9
AC5011 , MANAGEMENT AND COST ACCOUNTING,6
AC5012 , PERFORMANCE MANAGEMENT,9
AC6003 , Dissertation 2,6
AC6011 , Financial Information Analysis,6
AC6013 , DISSERTATION A,15
AC6023 , DISSERTATION B,15
AC6042 , Dissertation 1,6
AC6051 , FINANCIAL REPORTING,6
AC6052 , CORPORATE FINANCE,6
AC6061 , FINANCIAL ANALYSIS AND GOVERNANCE,6
AC6062 , FINANCIAL ISSUES FOR SMALL AND MEDIUM ENTERPRISES,3
AC6081 , DECISION MAKING AND FINANCIAL MANAGEMENT IN MANAGEMENT PRACTICE,6
AC6091 , FINANCIAL MANAGEMENT AND DECISION MAKING FOR SUPPLY CHAIN MANAGEMENT,6
AC6111 , FINANCIAL MANAGEMENT AND DECISION MAKING,6
AE6001 , CHILD AND ADOLESCENT CLINICAL PSYCHOLOGY,3
AE6003 , ADULT CLINICAL PSYCHOLOGY,3
AE6004 , CLINICAL PSYCHOTHERAPY 1,3
AE6005 , INTELLECTUAL DISABILITIES,3
AE6011 ," RESEARCH; DESIGN, METHOD AND STATISTICS 1",3
AE6012 ," RESEARCH: DESIGN, METHOD AND STATISTICS 2",3
AE6013 , WORKING WITH OLDER ADULTS,3
AE6014 , CLINICAL PSYCHOTHERAPY 2,3
AE6015 , INTELLECTUAL DISABILITY PLACEMENT,6
AE6016 , INTELLECTUAL DISABILITY PLACEMENT,6
AE6021 , CHILD AND ADOLESCENT PLACEMENT 1,6
AE6022 , CHILD AND ADOLESCENT PLACEMENT 2,6
AE6023 , CLINICAL NEUROPSYCHOLOGY,3
AE6025 , PERSONAL DEVELOPMENT 5,3
AE6031 , PERSONAL DEVELOPMENT 1,3
AE6032 , PERSONAL DEVELOPMENT 2,3
AE6033 , PERSONAL DEVELOPMENT 3,3
AE6034 , PERSONAL DEVELOPMENT 4,3
AE6043 , RESEARCH 1,6
AE6044 , RESEARCH 2,3
AE6046 , RESEARCH 4,3
AE6053 , ADULT MENTAL HEALTH PLACEMENT,12
AE6054 , SPECIALIST TOPICS IN CLINICAL PSYCHOLOGY,3
AE6055 , RESEARCH 3,6
AE6100 , SPECIALIST PLACEMENT 1,12
AE6200 , SPECIALIST PLACEMENT 2,12
AE6300 , SPECIALIST PLACEMENT 3,12
AH4005 , INTRODUCTION TO PUBLIC HUMANITIES,12
AH8001 , INTRODUCTION TO DOCTORAL STUDIES IN AHSS,6
AH8002 , INTERNATIONAL PHD IN ARTS AND HUMANITIES (PRACTICE) SUMMER SCHOOL,12
AH8003 , PROFESSIONAL DEVELOPMENT FOR AHSS PHD RESEARCHERS,9
AH8007 , PROFESSIONAL PORTFOLIO 1,12
AH8010 , PROFESSIONAL PORTFOLIO 2,12
AH8013 , CRITICAL APPROACHES TO DISPLAY AND PARTICIPATION,9
AL6711 ," CORE FEATURES OF LANGUAGE: GRAMMAR, VOCABULARY, AND PHONOLOGY",12
AL6712 , RESEARCH METHODS IN APPLIED LINGUISTICS,12
AL6713 , DISSERTATION,30
AL6721 , APPROACHES TO LANGUAGE IN CONTEXT,9
AL6722 , CORPUS LINGUISTICS AND LANGUAGE TEACHING,9
AL6731 , ISSUES IN APPLIED LINGUISTICS,9
AL6732 , PHONETICS AND PHONOLOGY,9
AL6741 , CLASSROOM AND LEARNER DISCOURSE,9
AL6742 , DISCOURSE AND PRAGMATICS,9
AL7703 ," DOCTORAL THESIS WORK, GENERIC AND TRANSFERRABLE SKILLS",30
AL7711 ," CORE FEATURES OF LANGUAGE: GRAMMAR, VOCABULARY, AND PHONOLOGY",9
AL7712 , APPROACHES TO LANGUAGE IN CONTEXT,9
AL7713 ," DOCTORAL THESIS WORK, GENERIC AND TRANSFERRABLE SKILLS",30
AL7721 , RESEARCH METHODS IN APPLIED LINGUISTICS,9
AL7722 , ISSUES IN APPLIED LINGUISTICS,9
AL7723 ," DOCTORAL THESIS WORK, GENERIC AND TRANSFERRABLE SKILLS",30
AL7731 , ACADEMIC WRITING : LEXICOGRAMMAR AND DISCOURSE,3
AL7732 , CORPUS LINGUISTICS AND LANGUAGE TEACHING,9
AL7733 ," DOCTORAL THESIS WORK, GENERIC AND TRANSFERRABLE SKILLS",30
AL7741 , INTRODUCTION TO SOCIOLINGUISTICS,9
AL7742 , PHONETICS AND PHONOLOGY,9
AL7743 ," DOCTORAL THESIS WORK, GENERIC AND TRANSFERRABLE SKILLS",30
AL7751 , SECOND LANGUAGE ACQUISITION,9
AL7752 , DISCOURSE AND PRAGMATICS,9
AL7753 ," DOCTORAL THESIS WORK, GENERIC AND TRANSFERRABLE SKILLS",30
AL7761 , CLASSROOM AND LEARNER DISCOURSE,9
AL7762 , ANALYSING MEDIA DISCOURSE,9
AL7763 ," DOCTORAL THESIS WORK, GENERIC AND TRANSFERRABLE SKILLS",30
AL7771 , INTRODUCTION TO IRISH ENGLISH,9
AL7773 ," DOCTORAL THESIS WORK, GENERIC AND TRANSFERRABLE SKILLS",30
AL7783 ," DOCTORAL THESIS WORK, GENERIC AND TRANSFERRABLE SKILLS",30
AL7793 ," DOCTORAL THESIS WORK, GENERIC AND TRANSFERRABLE SKILLS",30
AM6001 , AIR TRANSPORT CHARACTERISTICS,6
AM6013 , AIRLINE AND GROUND OPERATIONS,3
AM6023 , AIRPORT BUSINESS,3
AM6036 , AIRLINE SIMULATION AND PLANNING,3
AN5742 , Psychology and Sociology of Adult Education,9
AN5751 , Reflective and Professional Practice,6
AN5752 , Teaching and Curriculum Studies 2,9
AN5761 , Teaching and Curriculum Studies 1,6
AN5762 , History and Philosophy of Adult Education,6
AN5771 , Learning and Technology,6
AN5772 , Practicum 2,9
AN5781 , Practicum 1,9
AN6711 , Principles and Practices of Research,6
AN6712 , Dissertation 2,15
AN6721 , Dissertation 1,6
AP5001 , PLACEMENT ,15
AP5002 , PARTICIPATION IN PRACTICE IN SPECIALISED CENTRES,6
AP5011 , DANCE PEDAGOGY AND INCLUSIVE PRACTICE,6
AP5012 , RESEARCH BASED SEMINARS RELATED TO PRACTICAL TRAINING,3
AP5022 , RESEARCH PROJECT,21
AP5032 , CURRENT TRENDS AND ISSUES IN APA / APE,3
AP5091 , DISSERTATION 1 (EMMAPA),9
AP5092 , DISSERTATION 2 (EMMAPA),21
AR2001 , FAB LEARNING PORTFOLIO,12
AR4000 , LIMERICK: LOCAL HISTORY AND URBAN GOVERNANCE IN ARCHITECTURE,6
AR4001 , DESIGN STUDIO 1A,15
AR4002 , DESIGN STUDIO 1B,15
AR4004 , DESIGN STUDIO 2B,15
AR4005 , DESIGN STUDIO 3A,15
AR4006 , DESIGN STUDIO 3B,15
AR4007 , DESIGN STUDIO 4A,18
AR4008 , DESIGN STUDIO 4B,18
AR4010 , DESIGN STUDIO 5B ,21
AR4011 , GRAVITY AND REACTION 1,3
AR4012 , GRAVITY AND REACTION 2,3
AR4013 , GRAVITY AND REACTION 3,3
AR4014 , GRAVITY AND REACTION 4,3
AR4015 , GRAVITY AND REACTION 5,3
AR4016 , GRAVITY AND REACTION 6,3
AR4017 , REPRESENTATION THEORY 1,3
AR4018 , REPRESENTATION THEORY 2,3
AR4019 , PROFESSIONAL PRACTICE: CONTRACTS,3
AR4021 , REPRESENTATION / DRAWING 1,3
AR4022 , REPRESENTATION / DRAWING 2,3
AR4023 , REPRESENTATION / DRAWING 3,3
AR4024 , REPRESENTATION / DRAWING 4,3
AR4025 , REPRESENTATION / DRAWING 5,3
AR4026 , REPRESENTATION / DRAWING 6,3
AR4027 ," CULTURE, PLACE AND ENVIRONMENT 2",3
AR4028 ," CULTURE, PLACE AND ENVIRONMENT 3",3
AR4031 , HISTORY AND THEORY OF ARCHITECTURE 1,3
