Department,Module Code , Title,Credits,
Accounting and Finance,AC2001 , INTRODUCTION TO ACCOUNTING AND FINANCE,6,
Accounting and Finance,AC2002 , INTRODUCTION TO ACCOUNTING,6,
Accounting and Finance,AC2003 , ACCOUNTING FOR FINANCIAL DECISION MAKING WITHIN PROFESSIONAL PROCUREMENT,6,
Accounting and Finance,AC2012 , ACCOUNTING FOR FINANCIAL DECISION MAKING,6,
Accounting and Finance,AC2914 , ACCOUNTING FOR FINANCIAL DECISION MAKING,6,
Accounting and Finance,AC3001 , INTRODUCTION TO ACCOUNTING,6,
Accounting and Finance,AC3002 , HEALTH SECTOR FINANCE,6,
Accounting and Finance,AC3003 , INTRODUCTION TO ACCOUNTING,6,
Accounting and Finance,AC3012 , BUSINESS INTELLIGENCE FOR DECISION MAKING,6,
Accounting and Finance,AC4000 , CORPORATE SOCIAL RESPONSIBILITY,6,
Accounting and Finance,AC4001 , PRINCIPLES OF ACCOUNTING,6,
Accounting and Finance,AC4002 , MANAGERIAL ACCOUNTING,6,
Accounting and Finance,AC4003 , FINANCIAL REPORTING AND ANALYSIS,9,
Accounting and Finance,AC4004 , ACCOUNTING FOR AUDITING AND FRAMEWORKS,6,
Accounting and Finance,AC4007 , ADVANCED FINANCIAL REPORTING,6,
Accounting and Finance,AC4008 , CORPORATE GOVERNANCE AND GROUPS,6,
Accounting and Finance,AC4014 , INTERMEDIATE ACCOUNTING 1,6,
Accounting and Finance,AC4018 , CORPORATE TRANSPARENCY AND BUSINESS ETHICS,6,
Accounting and Finance,AC4024 , FINANCIAL ACCOUNTING AND REPORTING,6,
Accounting and Finance,AC4034 , AUDITING AND ACCOUNTING FRAMEWORKS,6,
Accounting and Finance,AC4213 , FINANCIAL ACCOUNTING,6,
Accounting and Finance,AC4214 , ACCOUNTING FOR FINANCIAL DECISION MAKING,6,
Accounting and Finance,AC4305 , FINANCIAL INFORMATION ANALYSIS,6,
Accounting and Finance,AC4407 , INTERMEDIATE ACCOUNTING 2,6,
Accounting and Finance,AC4417 , MANAGEMENT ACCOUNTING 1,6,
Accounting and Finance,AC4418 , MANAGEMENT ACCOUNTING 2,6,
Accounting and Finance,AC4901 , PRINCIPLES OF ACCOUNTING (by Flexible Learning),6,
Accounting and Finance,AC4902 , MANAGERIAL ACCOUNTING,6,
Accounting and Finance,AC4906 , CORPORATE SOCIAL RESPONSIBILITY,9,
Accounting and Finance,AC4907 , FINANCIAL INFORMATION ANALYSIS,6,
Accounting and Finance,AC5001 , FINANCIAL ACCOUNTING,6,
Accounting and Finance,AC5002 , FINANCIAL REPORTING,9,
Accounting and Finance,AC5011 , MANAGEMENT AND COST ACCOUNTING,6,
Accounting and Finance,AC5012 , PERFORMANCE MANAGEMENT,9,
Accounting and Finance,AC6003 , Dissertation 2,6,
Accounting and Finance,AC6011 , Financial Information Analysis,6,
Accounting and Finance,AC6013 , DISSERTATION A,15,
Accounting and Finance,AC6023 , DISSERTATION B,15,
Accounting and Finance,AC6033 , RESEARCH METHODS IN BUSINESS,6,
Accounting and Finance,AC6042 , Dissertation 1,6,
